gap,node_emd,edge_emd,total_distance,spectral_wasserstein,timestep_ps
1,0,0,0,0,2
2,0.007461367614364834,0.0071394192899061635,0.014600786904270998,0.000241009615,4
5,0.011943351814555846,0.011664515720945446,0.023607867535501294,0.000295226158,10
10,0.009560715526322892,0.00932631333047351,0.018887028856796405,0.000331893076,20
20,0.02255834980095918,0.02112544914379311,0.043683798944752286,0.001723145782,40
50,0.0857432715522239,0.08661292363101032,0.17235619518323422,0.006257095513,100
100,0.09884439443932322,0.10303274142591849,0.2018771358652417,0.007119107565,200
200,0.1697087999858839,0.19253641150158704,0.3622452114874709,0.009037173356,400
500,0.17092348823641648,0.1708629476451304,0.3417864358815469,0.005293859617,1000
1000,0.23871995799569437,0.23643839018290386,0.47515834817859826,0.009303288179,2000
2500,0.3363281834983672,0.34855969039005963,0.6848878738884268,0.012719228990,5000
5000,0.4255518344566537,0.4357997378021957,0.8613515722588494,0.014814378749,10000
10000,0.564008825600272,0.5729620819191523,1.1369709075194243,0.013505925339,20000
25000,0.7824068799952287,0.8016046035595066,1.5840114835547352,0.016796299588,50000
50000,1.3640808394303194,1.349335489881499,2.7134163293118183,0.015077759060,100000
100000,1.5669596329148665,1.6036293962036496,3.170589029118516,0.032877265471,200000
