gap,node_emd,edge_emd,total_distance,spectral_wasserstein,timestep_ps
1,0,0,0,0,2
2,0.006707929549686815,0.006452892186037829,0.013160821735724644,0.000299511706,4
5,0.010416394859670372,0.010101307443589863,0.020517702303260235,0.000394617483,10
10,0.02513318626873564,0.023436548137494302,0.04856973440622994,0.000581334629,20
20,0.009393829211485974,0.00907568944702787,0.018469518658513845,0.000407963334,40
50,0.03995540291744012,0.03772373632374468,0.0776791392411848,0.001519961241,100
100,0.05514879872663352,0.0530303929160422,0.10817919164267573,0.002680744814,200
200,0.09820718117707278,0.09285956109349676,0.19106674227056952,0.002686919098,400
500,0.15076811162333656,0.16537483102930445,0.316142942652641,0.007504414117,1000
1000,0.1783051317049781,0.17642724496182624,0.35473237666680435,0.006472808754,2000
2500,0.3743809489939278,0.3890910452404248,0.7634719942343526,0.010556003626,5000
5000,0.38971181618398576,0.4190791403584545,0.8087909565424403,0.010661333804,10000
10000,0.6037468004395559,0.627316163918205,1.2310629643577609,0.016902101206,20000
25000,0.9402184003262323,0.9363964961092452,1.8766148964354774,0.014057629498,50000
50000,0.9095389627859288,0.9277802857286818,1.8373192485146106,0.019133423805,100000
100000,1.6916237176026172,1.7039825316097326,3.3956062492123498,0.017176346901,200000
