s,linear_node_emd,linear_edge_emd,linear_total,cubic_node_emd,cubic_edge_emd,cubic_total,spectral_wasserstein,spectral_euclidean,spectral_heat_L2,spectral_wave_L2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.1782198640420322,0.1877967728343472,0.3660166368763794,0.20390029499704,0.001691838223198,0.2055921332202381,0.02767456797978053,0.177792,0.005403585356199099,0.03325625053153512
0.1,0.4763953679635543,0.4915938303479493,0.9679891983115037,0.4696606706291427,0.0160532581501631,0.4857139287793058,0.06152949047823243,0.638881,0.013143362141108245,0.08426195680437883
0.15,0.8440277553346953,0.8792441747171331,1.7232719300518284,0.9155746461783,0.0839776229419379,0.999552269120238,0.09865972886378085,1.817525,0.021494332962168763,0.14381805593759517
0.2,0.9917801836145008,1.0490063790460262,2.040786562660527,1.207157362268261,0.1254322611670204,1.3325896234352814,0.1087196608346024,2.240061,0.025872605464156654,0.18326367143344782
0.25,1.3911359188124537,1.4373969323089983,2.828532851121452,1.6118581769962708,0.2404503267298609,1.852308503726132,0.12843580816214983,3.028476,0.03160056768702673,0.23449182101445712
0.3,2.3675040362326865,2.3862138296329074,4.753717865865594,2.3324243930731483,0.7493350146894101,3.0817594077625583,0.16332870864404933,3.748811,0.04285337313435091,0.35717710313791934
0.35,4.373844700618173,4.312492063772095,8.68633676439027,3.4911170047245275,1.6722696939529995,5.163386698677527,0.20642114261953062,4.341187,0.054194423369564135,0.47318726669338307
0.4,4.913365142574426,4.842266979001515,9.75563212157594,3.8257752508906298,1.9356085874358644,5.761383838326494,0.22239646801878915,4.40194,0.06106024538163802,0.5208762562941702
0.45,5.672929165691744,5.517217376439829,11.190146542131572,4.017002700080461,2.435266206084335,6.452268906164796,0.23007734000374305,4.255183,0.0599528686907948,0.5274547839933049
0.5,6.345722823344028,6.280873385424378,12.626596208768406,4.364241443009117,3.0514998485289575,7.415741291538074,0.3098327269572213,4.200196,0.08204525642771837,0.7632391660570533
0.55,6.9264872994027025,7.089593872867867,14.01608117227057,4.317919540534095,3.7573810428457497,8.075300583379844,0.44781412871210396,4.333503,0.13160205689058158,1.3177355386271308
0.6,8.497064160145895,8.646270122147007,17.1433342822929,6.087096675371168,5.961547714756295,12.048644390127464,0.5204100238720216,3.281526,0.14813585558031872,1.4542694019809448
0.65,8.497064160145895,8.646270122147007,17.1433342822929,6.087096675371168,5.961547714756295,12.048644390127464,0.5204100238720216,3.281526,0.14813585558031872,1.4542694019809448
0.7,9.102881174706653,9.296982278127295,18.399863452833948,6.614538278894808,6.464339881857356,13.078878160752163,0.5204100238720216,2.729093,0.14813585558031875,1.454269401980945
0.75,9.102881174706653,9.296982278127295,18.399863452833948,6.614538278894808,6.464339881857356,13.078878160752163,0.5204100238720216,2.729093,0.14813585558031875,1.454269401980945
0.8,12.29061492298186,12.37265273762998,24.66326766061184,9.603715628276378,9.41945124488048,19.02316687315686,0.5204100238720215,1.955833,0.14813585558031875,1.454269401980945
0.9,12.29061492298186,12.37265273762998,24.66326766061184,9.603715628276378,9.41945124488048,19.02316687315686,0.5204100238720215,1.955833,0.14813585558031875,1.454269401980945
